球员姓名,位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选过全明星,球员薪金
伊曼纽尔-穆迪埃,控球后卫,1.96,91,21,1,55,25.55,14.905,2,否,338
贾马尔-穆雷,得分后卫,1.93,94,20,0,82,21.52,11.963,2,否,336
阿尔弗雷德-佩顿,控球后卫,1.93,84,23,2,82,29.42,20.211,4,否,333
特洛伊-丹尼尔斯,得分后卫,1.93,93,26,3,67,17.65,8.907,1,否,333
厄尔森-伊亚索瓦,大前锋,2.08,107,30,8,82,26.12,15.767,4,否,330
拉简-朗多,控球后卫,1.85,84,31,10,69,26.7,15.481,5,否,330
安东尼-托利弗,大前锋,2.03,109,32,8,65,22.72,8.275,2,否,330
安东尼-莫罗,小前锋,1.96,95,32,8,49,14.57,6.04,0,否,330
塔里克-布莱克,中锋,2.06,113,25,2,67,16.27,8.302,2,否,329
道格-麦克德莫特,大前锋,2.03,101,25,2,66,22.83,9.849,2,否,329
泰瑞克-埃文斯,小前锋,1.98,100,28,7,40,19.7,13.38,3,否,329
扎克-拉文,得分后卫,1.96,84,22,2,47,37.2,21.867,3,否,320
TJ-沃伦,大前锋,2.03,102,24,2,66,31.02,16.546,4,否,315
斯坦利-约翰逊,小前锋,2.01,111,21,1,77,17.8,5.764,1,否,310
马奎斯-克里斯,大前锋,2.08,104,20,0,82,21.25,10.912,3,否,307
赛斯-库里,得分后卫,1.88,84,27,3,70,28.98,15.516,3,否,303
明达格斯-库兹明斯卡斯,大前锋,2.06,98,27,0,68,14.93,7.265,1,否,303
詹姆斯-恩尼斯,小前锋,2.01,95,27,2,64,23.43,8.7,2,否,303
贾斯汀-汉密尔顿,中锋,2.13,116,27,2,64,18.38,8.769,2,否,300
托马斯-萨特拉斯基,得分后卫,2.01,95,25,0,57,12.62,4.314,1,否,300
优素福-努尔基奇,中锋,2.13,127,23,2,65,21.4,14.072,5,否,295
卢卡斯-诺盖拉,中锋,2.13,109,25,2,57,19.08,6.177,3,否,295
内内-希拉里奥,中锋,2.11,113,35,14,67,17.87,11.06,2,否,290
弗兰克-卡明斯基,中锋,2.13,110,24,1,75,26.05,13.81,3,否,285
雅各布-波特尔,中锋,2.13,112,21,0,54,11.6,4.282,1,否,283
迈克尔-卡特-威廉姆斯,控球后卫,1.98,86,25,3,45,18.8,9.111,2,否,270
索恩-梅克,中锋,2.16,98,20,0,57,9.85,4.364,1,否,268
迈尔斯-特纳,中锋,2.11,110,21,1,81,31.37,16.789,7,否,267
多曼塔斯-萨博尼斯,大前锋,2.11,109,21,0,81,20.13,6.922,2,否,255
加里-哈里斯,小前锋,1.93,95,23,2,57,31.27,17.807,3,否,255
马尔科姆-迪兰尼,得分后卫,1.91,86,28,0,73,17.08,8.004,1,否,250
兰迪-弗耶,得分后卫,1.93,99,34,10,69,18.6,7.127,2,否,250
马努-吉诺比利,小前锋,1.98,93,40,14,69,18.72,10.142,2,否,250
本诺-尤杜里,控球后卫,1.91,93,35,12,39,14.35,9.179,1,否,250
雷吉-布洛克,小前锋,2.01,93,26,3,31,15.05,5.485,1,否,250
特雷-莱尔斯,大前锋,2.08,111,21,1,71,16.3,7.172,2,否,244
达里奥-萨里奇,大前锋,2.08,111,23,0,81,26.28,16.087,4,否,242
陶里安-普林斯,大前锋,2.03,100,23,0,59,16.63,6.612,2,否,240
罗德里-胡德,小前锋,2.03,98,24,2,59,27,14.307,3,否,239
沙巴兹-纳皮尔,控球后卫,1.85,79,26,2,53,9.65,5.374,0,否,236
托尼-阿伦,小前锋,1.93,97,35,12,71,26.95,12.44,4,否,233
杰夫-格林,大前锋,2.06,107,31,8,69,22.22,10.424,2,否,233
大卫-韦斯特,大前锋,2.06,113,37,13,68,12.55,6.871,2,否,233
克林特-卡佩拉,中锋,2.08,109,23,2,65,23.87,15.549,6,否,233
阿隆-阿弗拉罗,小前锋,1.96,95,31,9,61,25.88,9.719,1,否,233
德维恩-韦德,得分后卫,1.93,100,35,13,60,29.87,23.07,4,是,233
安德鲁-博格特,中锋,2.13,118,32,11,27,21.6,6.745,6,否,233
德文-布克,得分后卫,1.98,95,20,1,78,35,25.566,2,否,232
雷蒙-菲尔顿,得分后卫,1.85,93,33,11,80,21.23,9.108,2,否,230
理查德-杰弗森,小前锋,2.01,106,37,15,79,20.42,6.657,2,否,230
丹特-康宁汉姆,大前锋,2.03,104,30,7,66,24.97,7.151,3,否,230
何塞-卡尔德隆,控球后卫,1.91,91,36,11,41,13.13,5.586,1,否,230
吉奥吉奥斯-帕帕吉亚尼斯,中锋,2.16,109,20,0,22,16.13,7.549,2,否,230
贾马尔-尼尔森,控球后卫,1.83,86,35,12,75,27.25,14.293,2,否,226
卡梅隆-佩恩,控球后卫,1.91,84,23,1,31,14.9,6.934,1,否,220
丹泽尔-瓦伦丁,小前锋,1.98,95,23,0,57,17.12,6.215,2,否,219
凯尔-安德森,小前锋,2.06,104,24,2,72,14.17,4.698,2,否,215
卢克-理查德-巴莫特,大前锋,2.03,104,31,8,80,22.33,6.538,2,否,212
贾维尔-麦基,中锋,2.13,122,29,8,77,9.58,7.351,1,否,212
阿隆-布鲁克斯,控球后卫,1.83,73,32,8,65,13.73,6.873,0,否,212
迈克尔-比斯利,大前锋,2.06,107,28,8,56,16.68,10.376,2,否,212
德里克-罗斯,控球后卫,1.91,86,28,7,64,32.52,23.452,2,否,211
欧米-卡斯比,大前锋,2.06,102,29,7,36,17.82,6.198,2,否,211
凯利-乌布雷,大前锋,2.01,93,21,1,79,20.32,6.935,2,否,209
蒂姆-弗雷泽,得分后卫,1.85,77,26,2,65,23.45,12.294,2,否,209
胡安-埃尔南戈麦斯,大前锋,2.06,104,22,0,62,13.57,5.388,2,否,208
